,R,r,rho,ratio,p,q,error
185,1.00000000000000006e-01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,10,2.42851173996787283e-06
186,1.00000000000000000e+01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,15,3.09686257048163194e+00
187,1.00000000000000000e+01,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,10,3.16513943602232358e-04
188,1.00000000000000000e+01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,3,10,1.14496231846708584e-03
189,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,10,15,2.42598219196675347e-01
190,1.00000000000000000e+01,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,10,7.29107132122832624e-02
191,1.00000000000000000e+01,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,3,5,3.41934448048993901e-03
192,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,15,5,2.14421475913675746e-01
193,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,20,5.66598806657792192e-02
194,1.00000000000000000e+01,2.50000000000000014e-02,1.00000000000000006e-01,2.50000000000000000e-01,3,20,1.02978996002165357e+00
195,1.00000000000000000e+00,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,5,5,3.70327797398705598e-03
196,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,3,2.43202534241413956e-03
197,1.00000000000000000e+01,2.50000000000000000e-01,1.00000000000000000e+00,2.50000000000000000e-01,15,20,3.33574961490826702e-02
198,1.00000000000000000e+01,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,3,5,3.15146582783787865e+00
199,1.00000000000000000e+00,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,15,10,7.29107132122831514e-01
200,1.00000000000000000e+00,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,20,20,7.57071083514653447e-05
201,1.00000000000000000e+00,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,3,15,1.00843051326108858e-02
202,1.00000000000000000e+00,7.50000000000000111e-02,1.00000000000000006e-01,7.50000000000000000e-01,10,10,2.42598219196673703e+00
203,1.00000000000000000e+00,7.50000000000000000e+00,1.00000000000000000e+01,7.50000000000000000e-01,10,10,1.34438676631848841e-03
204,1.00000000000000000e+01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,5,20,2.74478044842156543e-01
205,1.00000000000000006e-01,5.00000000000000028e-02,1.00000000000000006e-01,5.00000000000000000e-01,20,20,3.19374965231578078e-04
206,1.00000000000000006e-01,2.50000000000000000e+00,1.00000000000000000e+01,2.50000000000000000e-01,15,15,2.47040967319776649e-12
207,1.00000000000000000e+00,5.00000000000000000e-01,1.00000000000000000e+00,5.00000000000000000e-01,15,15,2.43202534241470514e-04
208,1.00000000000000006e-01,7.50000000000000000e-01,1.00000000000000000e+00,7.50000000000000000e-01,20,5,7.57071083514591621e-04
209,1.00000000000000000e+00,5.00000000000000000e+00,1.00000000000000000e+01,5.00000000000000000e-01,15,10,2.42851173995462078e-07
